uid	mid	timeStamp	star
1091657	1292474	2006-12-30	4.0
1016278	10549253	2013-05-07	3.0
1505361	1301753	2010-04-09	4.0
1539935	1461351	2012-10-11	3.0
1373854	1777612	2007-03-29	4.0
1426455	1427816	2007-10-08	5.0
1450659	1301464	2008-11-16	5.0
1390224	1857175	2009-11-15	5.0
1160714	3205624	2011-01-14	5.0
1541135	1305553	2007-05-07	3.0
1457677	3814389	2011-08-19	5.0
1227496	4825008	2011-09-26	3.0
1772008	1308632	2009-05-29	4.0
11788292	4258485	2010-09-22	4.0
1950697	1297763	2009-10-20	3.0
1259619	1307427	2007-08-22	4.0
1212200	1299643	2006-10-31	3.0
15097135	6519487	2012-08-20	3.0
1793073	1866471	2011-05-14	3.0
1398811	1981361	2007-04-01	4.0
1249619	1309070	2010-05-26	4.0
1331450	1908318	2008-09-04	4.0
1848351	3439943	2009-09-20	5.0
1595158	1905462	2008-11-14	5.0
1272162	1296987	2006-10-02	3.0
1386860	1466394	2011-11-30	3.0
1166594	1306631	2006-05-17	5.0
1029978	4724739	2011-04-02	5.0
1324508	1418622	2007-04-30	5.0
1511195	20451283	2013-04-30	4.0
1412783	3147969	2012-01-07	3.0
1362033	3230462	2009-02-15	4.0
1073694	1300082	2006-06-09	4.0
1357791	1329562	2009-05-13	3.0
1470542	6869395	2012-11-29	3.0
1412628	1796939	2009-07-20	4.0
1716546	2055017	2007-10-27	4.0
1619240	1464368	2009-12-13	4.0
1269401	3610047	2011-09-29	3.0
1565794	1867415	2008-07-15	4.0
1243257	1858711	2010-06-27	5.0
1416754	3074303	2009-05-30	4.0
14602898	3395373	2012-08-29	5.0
1567654	1293658	2009-02-16	4.0
1220573	2311214	2008-01-02	3.0
1330525	1891179	2009-01-23	4.0
1849616	2027938	2008-02-15	4.0
14407572	6782006	2012-03-01	3.0
1846968	1498831	2008-10-02	4.0
1398758	1291830	2009-03-31	4.0
1162488	1292055	2008-12-16	4.0
1920610	2053515	2008-10-24	4.0
1587844	1473297	2013-04-07	4.0
1318234	1291560	2012-03-25	5.0
1733469	3285020	2010-12-09	5.0
1176224	1291575	2008-09-05	3.0
1233809	3017339	2008-08-23	5.0
1063713	1298644	2007-01-24	4.0
1129412	1484420	2009-10-13	5.0
1304776	3829499	2010-10-17	4.0
1078506	1303910	2006-01-28	3.0
1249867	1476973	2008-04-22	3.0
12069101	1297052	2012-01-28	4.0
1102909	6011805	2012-12-01	4.0
16442136	4824223	2011-02-18	4.0
1793023	1292064	2010-02-03	4.0
15400541	1302802	2012-05-31	4.0
10486601	3349190	2011-01-09	4.0
1391630	1890784	2007-12-02	5.0
1156029	1482072	2009-02-28	4.0
1112625	1963937	2008-07-19	4.0
1142775	4196227	2011-04-23	4.0
1424974	2060181	2010-02-13	4.0
1970304	5344178	2010-11-27	3.0
1778402	1309004	2007-12-23	3.0
1766109	3299241	2010-01-22	4.0
1808477	1294639	2011-11-26	5.0
13240551	2373209	2010-10-03	4.0
1355104	1984466	2009-06-08	4.0
1001002	2161696	2009-07-20	3.0
1806628	1432699	2011-07-06	4.0
1244861	5150481	2011-11-05	5.0
1478830	4769314	2011-12-18	5.0
1268860	1307906	2006-12-01	5.0
1197409	1949320	2011-07-22	3.0
1193209	1294693	2013-03-16	4.0
13423252	4023638	2011-03-05	4.0
1681092	2209573	2009-03-03	4.0
1478165	6778677	2011-10-06	5.0
1146506	6068497	2011-06-21	4.0
1386400	1293867	2007-02-20	3.0
1477702	1292348	2012-07-30	5.0
1772506	2156528	2010-06-27	4.0
1625694	3578981	2013-01-23	3.0
1196927	1437342	2010-05-11	4.0
13258622	1292370	2010-01-25	5.0
1955086	1291847	2011-06-30	4.0
1724295	1441238	2013-04-03	5.0
1825094	1297574	2009-01-10	3.0
1346905	3102668	2009-12-20	4.0
1081421	1299837	2006-03-12	5.0
1825541	5036969	2012-12-20	4.0
1018163	1295253	2008-01-01	3.0
1237215	1292728	2007-05-27	3.0
1102403	1308851	2006-06-24	3.0
1680812	2026932	2013-01-25	3.0
1311649	6522269	2012-04-20	5.0
1142682	2131291	2011-02-04	3.0
1045028	1295229	2009-12-19	3.0
1398288	1307739	2008-07-23	4.0
1478208	1291835	2009-01-07	4.0
1099929	1292434	2006-03-10	5.0
1724278	2060184	2012-06-17	3.0
1079591	1300106	2012-09-09	4.0
16943300	1305248	2009-10-29	4.0
10673764	3541415	2010-09-12	4.0
1294909	2269035	2010-06-17	3.0
10015280	1302795	2011-01-22	3.0
1224937	3602965	2009-03-22	5.0
1372393	1309203	2009-01-28	3.0
1444367	1304141	2008-07-28	5.0
1094385	1308817	2006-02-07	3.0
1630418	1299603	2010-08-24	4.0
1046914	1292434	2007-04-14	4.0
1599546	1857099	2008-03-08	3.0
1117083	1292722	2007-04-07	5.0
1028048	1292401	2007-07-02	5.0
1518025	1428976	2010-01-02	3.0
1379431	3806598	2009-06-21	3.0
1639938	4967578	2011-02-10	5.0
1831795	3073158	2012-05-20	3.0
1368001	3168089	2011-07-27	3.0
1371060	1305902	2012-04-23	3.0
1319405	5265193	2011-04-13	4.0
1395840	1305265	2008-03-28	3.0
1239663	1927686	2007-03-04	4.0
1508260	6085356	2012-11-18	4.0
1380928	1307456	2008-07-28	3.0
1077601	1291843	2009-01-21	4.0
1841296	4829835	2012-06-18	4.0
1403315	4253448	2011-02-09	3.0
1097525	2267155	2008-12-15	5.0
1686617	1418200	2009-07-19	3.0
1840240	1945253	2007-12-26	5.0
1098660	1863102	2007-12-25	3.0
1335809	6971305	2012-11-15	5.0
1524390	2279772	2009-04-14	3.0
1476811	1309060	2011-02-18	5.0
10464792	1864343	2012-10-15	3.0
17124846	1292215	2012-05-25	5.0
1450909	3053454	2010-07-28	3.0
1485565	4233625	2011-05-03	4.0
1384009	1291874	2007-04-02	5.0
1372066	3078514	2012-05-15	3.0
17734699	3011091	2011-08-01	5.0
14302381	19955821	2012-12-18	5.0
1837480	1300220	2008-06-09	4.0
1114759	1296882	2008-01-12	4.0
1226932	1296629	2011-10-04	5.0
1552466	1298644	2012-03-12	3.0
1617983	2209368	2010-05-14	4.0
1789750	2365068	2010-11-29	3.0
1186143	3184572	2008-09-22	4.0
1679402	1304022	2007-10-17	4.0
1839306	2251924	2011-02-25	3.0
1087188	1303808	2009-06-17	3.0
1299815	1890240	2008-02-23	4.0
1253122	1302193	2012-11-10	5.0
1025796	1292468	2007-12-06	4.0
17734699	2365260	2011-01-15	5.0
1766174	1807959	2007-08-15	3.0
1369583	1295713	2007-01-02	5.0
1176710	1307106	2006-09-19	5.0
1409987	1293838	2007-02-02	3.0
1335783	1937621	2008-01-28	3.0
1079395	1293632	2006-07-18	5.0
1097236	1297359	2006-02-12	5.0
1379761	1786735	2011-02-14	4.0
17712053	1305605	2010-03-31	5.0
1244527	1303029	2009-04-08	4.0
1181019	1861401	2006-11-07	4.0
1013477	1761671	2013-02-06	5.0
1117022	1308790	2006-03-13	4.0
1016879	1301974	2005-09-30	4.0
1829915	1849959	2008-11-05	4.0
15270403	1418834	2012-05-01	5.0
1974751	2344755	2011-07-16	4.0
10464792	1471815	2013-02-21	4.0
1194562	4914468	2012-08-12	4.0
1062922	1316563	2006-10-26	3.0
1445289	1308784	2009-05-06	3.0
1045204	1292217	2008-09-09	4.0
1656430	4226741	2010-01-08	4.0
1845631	1578507	2007-10-11	4.0
11020654	1308820	2012-11-11	3.0
1919056	1302930	2010-03-13	4.0
14164772	3006772	2009-09-30	4.0
1581505	3641108	2011-12-27	3.0
1109429	3649049	2012-01-20	3.0
1026038	1292444	2010-11-12	4.0
1016278	6013489	2012-10-25	5.0
18120858	1301231	2012-08-04	4.0
1251880	1578503	2008-04-06	4.0
1339530	1766086	2007-11-01	3.0
1374000	3148748	2010-05-17	5.0
1159050	1866475	2009-07-13	4.0
1221460	1478174	2011-11-28	4.0
1046914	6858739	2012-09-12	4.0
1016432	5913003	2012-08-25	4.0
1580604	2173157	2010-05-31	5.0
1258137	1394819	2006-12-29	3.0
1633050	1309020	2008-09-15	5.0
1097535	1439831	2008-05-29	4.0
13765719	2280468	2011-05-05	3.0
1090649	1299725	2010-08-09	4.0
1109779	3792799	2011-01-14	3.0
1499600	2133390	2009-12-02	3.0
1694092	3068206	2012-02-09	5.0
1565974	2346881	2011-01-14	3.0
1373968	3129853	2012-11-25	3.0
18069888	2028666	2010-02-23	5.0
1704894	1308130	2008-01-29	4.0
1251683	1864199	2011-06-06	4.0
1935580	1305724	2009-05-09	4.0
1463233	2132894	2011-09-09	5.0
1474290	1962832	2009-12-05	4.0
1105135	1293964	2012-03-10	4.0
1276992	1309053	2007-08-01	3.0
1001679	1293475	2009-02-03	3.0
1027939	4237043	2010-06-05	5.0
1948731	3892394	2010-01-13	5.0
1417907	5965670	2012-07-21	5.0
1418899	1305526	2007-05-29	3.0
1345767	1424406	2010-08-04	3.0
18122291	2990287	2011-07-15	4.0
1116029	5975464	2012-03-15	4.0
1519736	1306612	2008-11-20	3.0
1914253	1844413	2009-05-04	5.0
1398190	1292983	2008-05-19	3.0
1404847	1309202	2010-08-26	4.0
1016278	3530403	2013-02-01	4.0
1769927	1449381	2008-06-08	5.0
1180142	1293867	2007-10-10	3.0
1776883	5397537	2013-04-13	5.0
17153034	23090008	2013-04-04	3.0
1458848	1293147	2009-08-21	4.0
1014791	2010975	2009-10-17	4.0
1801253	4136036	2012-04-11	3.0
1022767	10540066	2013-03-20	3.0
10583154	3205624	2011-03-02	3.0
1161687	1891211	2008-12-17	4.0
1359774	1303590	2009-03-29	5.0
1209238	1578507	2010-03-01	4.0
1346653	4256328	2011-01-14	5.0
1201069	1293182	2009-05-25	5.0
1344794	1293323	2006-12-27	4.0
1549416	3541415	2010-09-05	5.0
1430026	1305735	2009-12-02	3.0
1692288	4316520	2010-04-15	3.0
1919056	2156663	2010-07-11	4.0
1174250	1292722	2006-05-23	3.0
1015279	1308860	2010-07-10	3.0
1256620	1316510	2009-05-23	4.0
1642613	3024610	2010-06-09	5.0
1207504	7155241	2012-02-28	4.0
1710015	3073875	2010-11-25	4.0
1529556	1892578	2008-11-28	4.0
1017583	1297229	2009-07-23	4.0
1157330	1951318	2009-07-12	5.0
1379652	1870436	2010-08-04	4.0
1641087	3439943	2011-02-12	4.0
1584939	1291549	2009-09-01	5.0
1419565	2365260	2008-04-28	5.0
1004433	1292679	2005-07-14	4.0
17734699	2154774	2011-05-16	5.0
1256620	1900180	2010-01-14	3.0
1532695	1291552	2008-02-13	4.0
14967782	1468650	2012-09-02	4.0
1196919	1298405	2008-12-17	3.0
1427000	5316829	2011-04-08	4.0
1846458	5385604	2012-07-28	5.0
11579166	3992226	2009-11-28	4.0
1265198	3599099	2010-07-24	4.0
1299273	1294323	2012-12-02	4.0
1299980	3569911	2013-01-04	4.0
1388322	1307332	2008-04-23	4.0
1063404	3324091	2009-02-21	3.0
1161266	1464540	2009-03-23	4.0
1432620	1860582	2010-01-17	5.0
1457618	1308833	2009-09-16	3.0
1931419	4218768	2012-07-03	3.0
1087080	1294262	2008-07-22	5.0
1769449	1303394	2012-12-13	5.0
1248328	2253807	2009-09-21	4.0
1100847	1422957	2006-03-25	3.0
1567931	1954775	2009-07-12	4.0
1495298	2132495	2009-04-18	4.0
1421723	1296112	2011-11-28	4.0
1181738	1308755	2010-07-29	3.0
1198306	2074009	2009-01-26	3.0
13888096	1927369	2011-11-29	3.0
1000226	4196227	2011-05-15	4.0
1893652	1300741	2012-07-15	4.0
1713137	3263410	2010-02-20	4.0
10529421	1294417	2010-03-20	4.0
10583154	1864290	2010-01-11	4.0
1398186	2129039	2009-09-17	5.0
1442320	1292697	2009-10-18	5.0
1513281	3560787	2009-06-26	5.0
1000905	1307920	2008-07-10	4.0
1825788	3430271	2010-12-04	4.0
1241740	3158990	2009-02-22	5.0
1518170	2018131	2008-07-04	4.0
1155324	1292440	2013-05-04	4.0
1595793	1299062	2009-12-25	4.0
1252786	1783772	2007-11-04	4.0
1399771	1292270	2009-01-30	5.0
16220630	2354897	2011-03-24	3.0
1832918	3072124	2012-05-23	5.0
1250714	1394324	2008-10-07	3.0
1714696	1308366	2009-10-06	4.0
1750787	1307739	2010-07-25	3.0
1206005	4226741	2010-01-09	5.0
1180142	1863941	2009-11-19	4.0
1925829	1889424	2009-04-27	3.0
1096081	2147619	2009-09-27	5.0
1590005	4206436	2012-02-15	3.0
1131503	1297052	2008-05-29	5.0
1875458	1292338	2010-08-17	5.0
1256620	1293908	2010-01-14	5.0
1093770	1297102	2006-05-13	5.0
1115921	1756073	2006-04-07	5.0
1271587	3718665	2010-10-02	4.0
1372131	1305724	2008-07-28	4.0
1800664	1301168	2009-01-20	3.0
1483987	3005875	2009-11-30	4.0
14426204	1292286	2010-03-29	5.0
1644648	1298624	2012-06-20	4.0
1706152	2381835	2009-04-23	4.0
1427432	1431718	2008-08-12	4.0
1198306	1939414	2008-05-02	3.0
1580604	1294408	2009-08-23	5.0
1564071	1474189	2008-08-07	4.0
1061596	1890157	2011-02-19	3.0
1050660	10574468	2013-03-24	3.0
1684333	2279152	2007-07-25	5.0
1422368	1867408	2007-12-14	3.0
1668139	4709904	2011-05-27	5.0
1839167	1291566	2009-04-23	5.0
1294931	1295374	2011-09-26	5.0
1135116	1305086	2007-07-30	3.0
1307234	1292523	2008-12-24	4.0
10204069	1292720	2010-02-16	5.0
1028048	2131459	2008-07-04	5.0
1429071	1477448	2007-11-11	5.0
1375854	4271894	2011-01-07	5.0
1439277	1914652	2008-04-25	3.0
1241740	1303340	2007-12-22	5.0
1155544	1949328	2011-09-04	3.0
1188725	3011091	2010-03-26	4.0
1548160	3262939	2009-03-30	3.0
15560740	1428175	2011-10-31	4.0
1547718	3126187	2008-10-05	4.0
1724617	3312633	2010-01-03	4.0
14192044	1297863	2012-02-05	5.0
1077911	1296557	2012-07-20	5.0
1188935	3073124	2009-11-09	4.0
1188419	3087326	2010-04-10	3.0
1513194	1297223	2007-04-24	5.0
1155874	1780330	2011-02-04	3.0
1578047	2248526	2008-12-17	3.0
1146587	1294588	2012-12-21	4.0
1188178	1301445	2007-03-25	3.0
1444612	1997679	2008-09-04	3.0
1912224	10574468	2013-03-26	3.0
1262350	1444534	2007-09-11	5.0
1856237	6905169	2012-12-03	4.0
1759323	2072478	2010-08-19	5.0
1389239	2300586	2009-11-21	5.0
1376582	4202302	2011-07-08	4.0
1374126	1302425	2009-04-06	3.0
1098096	2326212	2010-01-13	4.0
1619240	2303163	2011-01-15	3.0
1163334	1292226	2010-09-13	5.0
1922762	3005875	2010-03-07	4.0
1021949	6523520	2012-09-05	3.0
1077137	1308751	2006-01-10	4.0
1001824	2044089	2008-10-15	3.0
1120332	1306029	2010-01-26	5.0
1104177	5977835	2012-03-09	4.0
1062803	1482090	2007-11-07	5.0
1478134	1794793	2008-10-02	5.0
1183255	3771562	2012-09-20	3.0
1265198	3793023	2010-08-17	5.0
1843712	6799191	2012-07-21	4.0
1445394	1301578	2007-04-14	5.0
1562881	1436900	2009-06-15	4.0
1519068	1889323	2010-01-09	4.0
